TIME;ID;TYPE;LINK;POSITION;SPEED;STATE;DISTANCE;PASSENGERS;TRAVELED_NODES
06:30:00.00;6;Tram;TRAM_SO TRAM_S1;300.000 0.000;;REPOSITIONING;0.000;;
06:30:05.45;6;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;REPOSITIONING;600.000;;
06:31:05.45;6;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;REPOSITIONING;1200.000;;
06:32:05.45;6;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;REPOSITIONING;1800.000;;
06:33:05.45;6;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;REPOSITIONING;2400.000;;
06:40:05.45;7;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B977 U_B530;
06:41:05.45;7;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B977 U_B530;
06:42:05.45;7;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B977 U_B530;
06:43:05.45;7;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B977 U_B530;
06:50:05.45;10;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;REPOSITIONING;600.000;;
06:51:05.45;10;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;REPOSITIONING;1200.000;;
06:52:05.45;10;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;REPOSITIONING;1800.000;;
06:53:05.45;10;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;REPOSITIONING;2400.000;;
07:00:05.45;15;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B331 U_M177 U_B670 U_M59 U_M993 U_M248 U_M532 U_B649 U_B921 U_M111 U_M858 U_M546 U_B219 U_M593 U_B22 U_B507 U_B508 U_M446 U_M296 U_B878 U_M803 U_B303 U_B407 U_B832 U_B346 U_B149 U_M857 U_B640 U_M125 U_M782 U_M848 U_M590 U_M211 U_B884 U_B10 U_M428 U_B744 U_M690 U_B552 U_M401 U_M915 U_B448 U_M341 U_B127 U_M323 U_B810 U_M771 U_B581 U_B321 U_B435 U_B543 U_M333 U_M950 U_B569 U_B616 U_M879 U_B237 U_M64 U_M348 U_B755 U_B545 U_B768 U_B335 U_M389 U_B905 U_B43 U_M154 U_B492 U_M933 U_M422;
07:01:05.45;15;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B331 U_M177 U_B670 U_M59 U_M993 U_M248 U_M532 U_B649 U_B921 U_M111 U_M858 U_M546 U_B219 U_M593 U_B22 U_B507 U_B508 U_M446 U_M296 U_B878 U_M803 U_B303 U_B407 U_B832 U_B346 U_B149 U_M857 U_B640 U_M125 U_M782 U_M848 U_M590 U_M211 U_B884 U_B10 U_M428 U_B744 U_M690 U_B552 U_M401 U_M915 U_B448 U_M341 U_B127 U_M323 U_B810 U_M771 U_B581 U_B321 U_B435 U_B543 U_M333 U_M950 U_B569 U_B616 U_M879 U_B237 U_M64 U_M348 U_B755 U_B545 U_B768 U_B335 U_M389 U_B905 U_B43 U_M154 U_B492 U_M933 U_M422;
07:02:05.45;15;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B331 U_M177 U_B670 U_M59 U_M993 U_M248 U_M532 U_B649 U_B921 U_M111 U_M858 U_M546 U_B219 U_M593 U_B22 U_B507 U_B508 U_M446 U_M296 U_B878 U_M803 U_B303 U_B407 U_B832 U_B346 U_B149 U_M857 U_B640 U_M125 U_M782 U_M848 U_M590 U_M211 U_B884 U_B10 U_M428 U_B744 U_M690 U_B552 U_M401 U_M915 U_B448 U_M341 U_B127 U_M323 U_B810 U_M771 U_B581 U_B321 U_B435 U_B543 U_M333 U_M950 U_B569 U_B616 U_M879 U_B237 U_M64 U_M348 U_B755 U_B545 U_B768 U_B335 U_M389 U_B905 U_B43 U_M154 U_B492 U_M933 U_M422;
07:03:05.45;15;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B331 U_M177 U_B670 U_M59 U_M993 U_M248 U_M532 U_B649 U_B921 U_M111 U_M858 U_M546 U_B219 U_M593 U_B22 U_B507 U_B508 U_M446 U_M296 U_B878 U_M803 U_B303 U_B407 U_B832 U_B346 U_B149 U_M857 U_B640 U_M125 U_M782 U_M848 U_M590 U_M211 U_B884 U_B10 U_M428 U_B744 U_M690 U_B552 U_M401 U_M915 U_B448 U_M341 U_B127 U_M323 U_B810 U_M771 U_B581 U_B321 U_B435 U_B543 U_M333 U_M950 U_B569 U_B616 U_M879 U_B237 U_M64 U_M348 U_B755 U_B545 U_B768 U_B335 U_M389 U_B905 U_B43 U_M154 U_B492 U_M933 U_M422;
07:10:05.45;20;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_M809 U_M718 U_B220 U_M939 U_B587 U_B97 U_B934 U_B306 U_M325 U_M513 U_M621 U_M923 U_M186 U_B894 U_M643 U_B126 U_M476 U_M52 U_M592 U_M218 U_B532 U_M319 U_B781 U_M403 U_M142 U_B839 U_M827 U_M653 U_B124 U_M815 U_B928 U_B705 U_M648 U_B679 U_B524 U_M740 U_M155 U_M610 U_M655 U_M602 U_M732 U_B173 U_M90 U_B171 U_B91 U_M41 U_M387 U_B889 U_M365 U_M62 U_B470 U_M502 U_B979 U_B851 U_B610 U_B233 U_M492 U_B119 U_M249 U_B102 U_M963 U_M289 U_B33 U_M730 U_B715 U_M800 U_B502 U_B109 U_B106 U_B389;
07:11:05.45;20;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_M809 U_M718 U_B220 U_M939 U_B587 U_B97 U_B934 U_B306 U_M325 U_M513 U_M621 U_M923 U_M186 U_B894 U_M643 U_B126 U_M476 U_M52 U_M592 U_M218 U_B532 U_M319 U_B781 U_M403 U_M142 U_B839 U_M827 U_M653 U_B124 U_M815 U_B928 U_B705 U_M648 U_B679 U_B524 U_M740 U_M155 U_M610 U_M655 U_M602 U_M732 U_B173 U_M90 U_B171 U_B91 U_M41 U_M387 U_B889 U_M365 U_M62 U_B470 U_M502 U_B979 U_B851 U_B610 U_B233 U_M492 U_B119 U_M249 U_B102 U_M963 U_M289 U_B33 U_M730 U_B715 U_M800 U_B502 U_B109 U_B106 U_B389;
