TIME;ID;TYPE;LINK;POSITION;SPEED;STATE;DISTANCE;PASSENGERS;TRAVELED_NODES
06:30:00.00;6;Tram;TRAM_SO TRAM_S1;300.000 0.000;;REPOSITIONING;0.000;;
06:30:05.45;6;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;REPOSITIONING;600.000;;
06:31:05.45;6;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;REPOSITIONING;1200.000;;
06:32:05.45;6;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;REPOSITIONING;1800.000;;
06:33:05.45;6;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;REPOSITIONING;2400.000;;
06:40:05.45;7;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B977 U_B530 U_B636 U_B582 U_B28 U_B50 U_B769 U_B847 U_B891 U_B494 U_B274 U_B645 U_B555 U_B782;
06:41:05.45;7;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B977 U_B530 U_B636 U_B582 U_B28 U_B50 U_B769 U_B847 U_B891 U_B494 U_B274 U_B645 U_B555 U_B782;
06:42:05.45;7;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B977 U_B530 U_B636 U_B582 U_B28 U_B50 U_B769 U_B847 U_B891 U_B494 U_B274 U_B645 U_B555 U_B782;
06:43:05.45;7;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B977 U_B530 U_B636 U_B582 U_B28 U_B50 U_B769 U_B847 U_B891 U_B494 U_B274 U_B645 U_B555 U_B782;
06:50:05.45;10;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B957 U_B944 U_B13 U_B673 U_B138 U_B580 U_B919 U_B163 U_B614 U_B484 U_B862 U_B678 U_B310 U_B602 U_B403 U_B907 U_B726 U_B632 U_B557 U_B814 U_B350 U_B550 U_B759 U_B156 U_B279 U_B373 U_B574 U_B987 U_B997 U_B566 U_B896 U_B723 U_B355 U_B428 U_B603 U_B639 U_B918 U_B275 U_B406 U_B611 U_B990 U_B241 U_B201 U_B801 U_B686 U_B285 U_B870 U_B19 U_B206 U_B332 U_B696 U_B509 U_B395 U_B643 U_B53 U_B867 U_B437 U_B558 U_B358 U_B121 U_B352 U_B72 U_B949 U_B83 U_B203 U_B753 U_B585 U_B433 U_B712 U_B852;
06:51:05.45;10;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B957 U_B944 U_B13 U_B673 U_B138 U_B580 U_B919 U_B163 U_B614 U_B484 U_B862 U_B678 U_B310 U_B602 U_B403 U_B907 U_B726 U_B632 U_B557 U_B814 U_B350 U_B550 U_B759 U_B156 U_B279 U_B373 U_B574 U_B987 U_B997 U_B566 U_B896 U_B723 U_B355 U_B428 U_B603 U_B639 U_B918 U_B275 U_B406 U_B611 U_B990 U_B241 U_B201 U_B801 U_B686 U_B285 U_B870 U_B19 U_B206 U_B332 U_B696 U_B509 U_B395 U_B643 U_B53 U_B867 U_B437 U_B558 U_B358 U_B121 U_B352 U_B72 U_B949 U_B83 U_B203 U_B753 U_B585 U_B433 U_B712 U_B852;
06:52:05.45;10;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B957 U_B944 U_B13 U_B673 U_B138 U_B580 U_B919 U_B163 U_B614 U_B484 U_B862 U_B678 U_B310 U_B602 U_B403 U_B907 U_B726 U_B632 U_B557 U_B814 U_B350 U_B550 U_B759 U_B156 U_B279 U_B373 U_B574 U_B987 U_B997 U_B566 U_B896 U_B723 U_B355 U_B428 U_B603 U_B639 U_B918 U_B275 U_B406 U_B611 U_B990 U_B241 U_B201 U_B801 U_B686 U_B285 U_B870 U_B19 U_B206 U_B332 U_B696 U_B509 U_B395 U_B643 U_B53 U_B867 U_B437 U_B558 U_B358 U_B121 U_B352 U_B72 U_B949 U_B83 U_B203 U_B753 U_B585 U_B433 U_B712 U_B852;
06:53:05.45;10;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B957 U_B944 U_B13 U_B673 U_B138 U_B580 U_B919 U_B163 U_B614 U_B484 U_B862 U_B678 U_B310 U_B602 U_B403 U_B907 U_B726 U_B632 U_B557 U_B814 U_B350 U_B550 U_B759 U_B156 U_B279 U_B373 U_B574 U_B987 U_B997 U_B566 U_B896 U_B723 U_B355 U_B428 U_B603 U_B639 U_B918 U_B275 U_B406 U_B611 U_B990 U_B241 U_B201 U_B801 U_B686 U_B285 U_B870 U_B19 U_B206 U_B332 U_B696 U_B509 U_B395 U_B643 U_B53 U_B867 U_B437 U_B558 U_B358 U_B121 U_B352 U_B72 U_B949 U_B83 U_B203 U_B753 U_B585 U_B433 U_B712 U_B852;
07:00:05.45;15;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B144 U_B958 U_B253 U_B786 U_B394 U_B46 U_B831 U_B575 U_B100 U_B800 U_B940 U_B721 U_B176 U_B964 U_B122 U_B693 U_B326 U_B117 U_B527 U_B329 U_B998 U_B266 U_B12 U_B709 U_B776 U_B489 U_B8 U_B651 U_B664 U_B657 U_B56 U_B426 U_B952 U_B531 U_B101 U_B264 U_B748 U_B296 U_B947 U_B9 U_B730 U_B962 U_B240 U_B515 U_B993 U_B556 U_B414 U_B37 U_B868 U_B180 U_B112 U_B824 U_B191 U_B788 U_B391 U_B457 U_B992 U_B424 U_B371 U_B618 U_B996 U_B731 U_B523 U_B525 U_B281 U_B399 U_B972 U_B743 U_B445 U_B257;
07:01:05.45;15;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B144 U_B958 U_B253 U_B786 U_B394 U_B46 U_B831 U_B575 U_B100 U_B800 U_B940 U_B721 U_B176 U_B964 U_B122 U_B693 U_B326 U_B117 U_B527 U_B329 U_B998 U_B266 U_B12 U_B709 U_B776 U_B489 U_B8 U_B651 U_B664 U_B657 U_B56 U_B426 U_B952 U_B531 U_B101 U_B264 U_B748 U_B296 U_B947 U_B9 U_B730 U_B962 U_B240 U_B515 U_B993 U_B556 U_B414 U_B37 U_B868 U_B180 U_B112 U_B824 U_B191 U_B788 U_B391 U_B457 U_B992 U_B424 U_B371 U_B618 U_B996 U_B731 U_B523 U_B525 U_B281 U_B399 U_B972 U_B743 U_B445 U_B257;
