TIME;ID;TYPE;LINK;POSITION;SPEED;STATE;DISTANCE;PASSENGERS;TRAVELED_NODES
06:30:00.00;4;Metro;METRO_SO METRO_S2;300.000 0.000;;REPOSITIONING;0.000;;
06:31:00.00;4;Metro;METRO_SO METRO_S2;960.000 0.000;11.000;REPOSITIONING;660.000;;
06:31:10.91;4;Metro;METRO_S2 METRO_S4;1500.000 0.000;11.000;REPOSITIONING;1200.000;;
06:33:00.00;4;Metro;METRO_S2 METRO_S4;2160.000 0.000;11.000;REPOSITIONING;1860.000;;
06:33:10.91;4;Metro;METRO_S2 METRO_S4;2700.000 0.000;11.000;REPOSITIONING;2400.000;;
06:36:00.00;5;Metro;METRO_SO METRO_S2;960.000 0.000;11.000;PICKUP;660.000;U_B783 U_M201 U_M763 U_B977 U_B530 U_M484 U_M524 U_M275;
06:36:10.91;5;Metro;METRO_S2 METRO_S4;1500.000 0.000;11.000;PICKUP;1200.000;U_B783 U_M201 U_M763 U_B977 U_B530 U_M484 U_M524 U_M275;
06:38:00.00;5;Metro;METRO_S2 METRO_S4;2160.000 0.000;11.000;PICKUP;1860.000;U_B783 U_M201 U_M763 U_B977 U_B530 U_M484 U_M524 U_M275;
06:38:10.91;5;Metro;METRO_S2 METRO_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B783 U_M201 U_M763 U_B977 U_B530 U_M484 U_M524 U_M275;
06:41:00.00;8;Metro;METRO_SO METRO_S2;960.000 0.000;11.000;PICKUP;660.000;U_M749 U_B636 U_M942 U_M80 U_M317 U_M376 U_B582 U_M921 U_B28 U_B50 U_B769 U_M19 U_M909 U_B847 U_B891 U_M304 U_B494 U_B274 U_M438 U_M666 U_M299 U_B645 U_M544 U_M25 U_M226 U_M517 U_M361 U_M204 U_M11 U_B555 U_B782 U_M321;
06:41:10.91;8;Metro;METRO_S2 METRO_S4;1500.000 0.000;11.000;PICKUP;1200.000;U_M749 U_B636 U_M942 U_M80 U_M317 U_M376 U_B582 U_M921 U_B28 U_B50 U_B769 U_M19 U_M909 U_B847 U_B891 U_M304 U_B494 U_B274 U_M438 U_M666 U_M299 U_B645 U_M544 U_M25 U_M226 U_M517 U_M361 U_M204 U_M11 U_B555 U_B782 U_M321;
06:43:00.00;8;Metro;METRO_S2 METRO_S4;2160.000 0.000;11.000;PICKUP;1860.000;U_M749 U_B636 U_M942 U_M80 U_M317 U_M376 U_B582 U_M921 U_B28 U_B50 U_B769 U_M19 U_M909 U_B847 U_B891 U_M304 U_B494 U_B274 U_M438 U_M666 U_M299 U_B645 U_M544 U_M25 U_M226 U_M517 U_M361 U_M204 U_M11 U_B555 U_B782 U_M321;
06:43:10.91;8;Metro;METRO_S2 METRO_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_M749 U_B636 U_M942 U_M80 U_M317 U_M376 U_B582 U_M921 U_B28 U_B50 U_B769 U_M19 U_M909 U_B847 U_B891 U_M304 U_B494 U_B274 U_M438 U_M666 U_M299 U_B645 U_M544 U_M25 U_M226 U_M517 U_M361 U_M204 U_M11 U_B555 U_B782 U_M321;
