TIME;ID;TYPE;LINK;POSITION;SPEED;STATE;DISTANCE;PASSENGERS;TRAVELED_NODES
06:30:00.00;6;Tram;TRAM_SO TRAM_S1;300.000 0.000;;REPOSITIONING;0.000;;
06:30:05.45;6;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;REPOSITIONING;600.000;;
06:31:05.45;6;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;REPOSITIONING;1200.000;;
06:32:05.45;6;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;REPOSITIONING;1800.000;;
06:33:05.45;6;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;REPOSITIONING;2400.000;;
06:40:05.45;7;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B271 U_B48 U_B270 U_B315 U_B178 U_B213 U_B403 U_B502 U_B157 U_B364 U_B60;
06:41:05.45;7;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B271 U_B48 U_B270 U_B315 U_B178 U_B213 U_B403 U_B502 U_B157 U_B364 U_B60;
06:42:05.45;7;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B271 U_B48 U_B270 U_B315 U_B178 U_B213 U_B403 U_B502 U_B157 U_B364 U_B60;
06:43:05.45;7;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B271 U_B48 U_B270 U_B315 U_B178 U_B213 U_B403 U_B502 U_B157 U_B364 U_B60;
06:50:05.45;10;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B598 U_B518 U_B363 U_B488 U_B264 U_B452 U_B573 U_B532 U_B51 U_B154 U_B161 U_B497 U_B272 U_B229 U_B386 U_B189 U_B139 U_B565 U_B145 U_B567 U_B140 U_B366 U_B551 U_B321 U_B87 U_B284 U_B227 U_B482 U_B170 U_B138 U_B287 U_B523 U_B193 U_B436 U_B164 U_B437 U_B328 U_B25 U_B295 U_B303 U_B574 U_B333 U_B480 U_B162 U_B316 U_B133 U_B169 U_B572 U_B125 U_B109 U_B171 U_B66 U_B476 U_B492 U_B506 U_B263 U_B371 U_B30 U_B181 U_B455 U_B85;
06:51:05.45;10;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B598 U_B518 U_B363 U_B488 U_B264 U_B452 U_B573 U_B532 U_B51 U_B154 U_B161 U_B497 U_B272 U_B229 U_B386 U_B189 U_B139 U_B565 U_B145 U_B567 U_B140 U_B366 U_B551 U_B321 U_B87 U_B284 U_B227 U_B482 U_B170 U_B138 U_B287 U_B523 U_B193 U_B436 U_B164 U_B437 U_B328 U_B25 U_B295 U_B303 U_B574 U_B333 U_B480 U_B162 U_B316 U_B133 U_B169 U_B572 U_B125 U_B109 U_B171 U_B66 U_B476 U_B492 U_B506 U_B263 U_B371 U_B30 U_B181 U_B455 U_B85;
06:52:05.45;10;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B598 U_B518 U_B363 U_B488 U_B264 U_B452 U_B573 U_B532 U_B51 U_B154 U_B161 U_B497 U_B272 U_B229 U_B386 U_B189 U_B139 U_B565 U_B145 U_B567 U_B140 U_B366 U_B551 U_B321 U_B87 U_B284 U_B227 U_B482 U_B170 U_B138 U_B287 U_B523 U_B193 U_B436 U_B164 U_B437 U_B328 U_B25 U_B295 U_B303 U_B574 U_B333 U_B480 U_B162 U_B316 U_B133 U_B169 U_B572 U_B125 U_B109 U_B171 U_B66 U_B476 U_B492 U_B506 U_B263 U_B371 U_B30 U_B181 U_B455 U_B85;
06:53:05.45;10;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B598 U_B518 U_B363 U_B488 U_B264 U_B452 U_B573 U_B532 U_B51 U_B154 U_B161 U_B497 U_B272 U_B229 U_B386 U_B189 U_B139 U_B565 U_B145 U_B567 U_B140 U_B366 U_B551 U_B321 U_B87 U_B284 U_B227 U_B482 U_B170 U_B138 U_B287 U_B523 U_B193 U_B436 U_B164 U_B437 U_B328 U_B25 U_B295 U_B303 U_B574 U_B333 U_B480 U_B162 U_B316 U_B133 U_B169 U_B572 U_B125 U_B109 U_B171 U_B66 U_B476 U_B492 U_B506 U_B263 U_B371 U_B30 U_B181 U_B455 U_B85;
07:00:05.45;15;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B571 U_B119 U_B207 U_B521 U_B279 U_B576 U_B556 U_B246 U_B350 U_B561 U_B387 U_B483 U_B26 U_B208 U_B568 U_B150 U_B391 U_B27 U_B274 U_B330 U_B349 U_B423 U_B558 U_B519 U_B347 U_B234 U_B585 U_B179 U_B259 U_B339 U_B292 U_B442 U_B564 U_B3 U_B346 U_B359 U_B475 U_B222 U_B487 U_B212 U_B586 U_B317 U_B226 U_B102 U_B73 U_B278 U_B49 U_B537 U_B517 U_B515 U_B12 U_B590 U_B340 U_B433 U_B116 U_B577 U_B304 U_B13 U_B491 U_B54 U_B82 U_B307 U_B96 U_B99 U_B146 U_B44 U_B374 U_B252 U_B584 U_B394;
07:01:05.45;15;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B571 U_B119 U_B207 U_B521 U_B279 U_B576 U_B556 U_B246 U_B350 U_B561 U_B387 U_B483 U_B26 U_B208 U_B568 U_B150 U_B391 U_B27 U_B274 U_B330 U_B349 U_B423 U_B558 U_B519 U_B347 U_B234 U_B585 U_B179 U_B259 U_B339 U_B292 U_B442 U_B564 U_B3 U_B346 U_B359 U_B475 U_B222 U_B487 U_B212 U_B586 U_B317 U_B226 U_B102 U_B73 U_B278 U_B49 U_B537 U_B517 U_B515 U_B12 U_B590 U_B340 U_B433 U_B116 U_B577 U_B304 U_B13 U_B491 U_B54 U_B82 U_B307 U_B96 U_B99 U_B146 U_B44 U_B374 U_B252 U_B584 U_B394;
07:02:05.45;15;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B571 U_B119 U_B207 U_B521 U_B279 U_B576 U_B556 U_B246 U_B350 U_B561 U_B387 U_B483 U_B26 U_B208 U_B568 U_B150 U_B391 U_B27 U_B274 U_B330 U_B349 U_B423 U_B558 U_B519 U_B347 U_B234 U_B585 U_B179 U_B259 U_B339 U_B292 U_B442 U_B564 U_B3 U_B346 U_B359 U_B475 U_B222 U_B487 U_B212 U_B586 U_B317 U_B226 U_B102 U_B73 U_B278 U_B49 U_B537 U_B517 U_B515 U_B12 U_B590 U_B340 U_B433 U_B116 U_B577 U_B304 U_B13 U_B491 U_B54 U_B82 U_B307 U_B96 U_B99 U_B146 U_B44 U_B374 U_B252 U_B584 U_B394;
