TIME;ID;TYPE;LINK;POSITION;SPEED;STATE;DISTANCE;PASSENGERS;TRAVELED_NODES
06:30:00.00;6;Tram;TRAM_SO TRAM_S1;300.000 0.000;;REPOSITIONING;0.000;;
06:30:05.45;6;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;REPOSITIONING;600.000;;
06:31:05.45;6;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;REPOSITIONING;1200.000;;
06:32:05.45;6;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;REPOSITIONING;1800.000;;
06:33:05.45;6;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;REPOSITIONING;2400.000;;
06:40:05.45;7;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;REPOSITIONING;600.000;;
06:41:05.45;7;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;REPOSITIONING;1200.000;;
06:42:05.45;7;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;REPOSITIONING;1800.000;;
06:43:05.45;7;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;REPOSITIONING;2400.000;;
06:50:05.45;10;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;REPOSITIONING;600.000;;
06:51:05.45;10;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;REPOSITIONING;1200.000;;
06:52:05.45;10;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;REPOSITIONING;1800.000;;
06:53:05.45;10;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;REPOSITIONING;2400.000;;
07:00:05.45;15;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B96 U_B99 U_B146 U_B44 U_M470 U_B374 U_M612 U_B252 U_M382 U_M155 U_M450 U_M326 U_M543 U_M680 U_M1109 U_M751 U_M181 U_B584 U_M1098 U_B394 U_B298 U_B88 U_M871 U_M925 U_B547 U_M1217 U_B255 U_M1291 U_M18 U_M1062 U_M988 U_B241 U_M288 U_M1104 U_B205 U_B341 U_M1154 U_M1081 U_M917 U_M816 U_M196 U_M1146 U_M649 U_B149 U_M934 U_M440 U_M338 U_M471 U_B597 U_M1287 U_M322 U_M369 U_M982 U_B285 U_M858 U_B511 U_M1172 U_B93 U_M218 U_M360 U_B343 U_M672 U_M254 U_M129 U_M11 U_M378 U_M419 U_M1352 U_M112 U_M597;
07:01:05.45;15;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B96 U_B99 U_B146 U_B44 U_M470 U_B374 U_M612 U_B252 U_M382 U_M155 U_M450 U_M326 U_M543 U_M680 U_M1109 U_M751 U_M181 U_B584 U_M1098 U_B394 U_B298 U_B88 U_M871 U_M925 U_B547 U_M1217 U_B255 U_M1291 U_M18 U_M1062 U_M988 U_B241 U_M288 U_M1104 U_B205 U_B341 U_M1154 U_M1081 U_M917 U_M816 U_M196 U_M1146 U_M649 U_B149 U_M934 U_M440 U_M338 U_M471 U_B597 U_M1287 U_M322 U_M369 U_M982 U_B285 U_M858 U_B511 U_M1172 U_B93 U_M218 U_M360 U_B343 U_M672 U_M254 U_M129 U_M11 U_M378 U_M419 U_M1352 U_M112 U_M597;
07:02:05.45;15;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B96 U_B99 U_B146 U_B44 U_M470 U_B374 U_M612 U_B252 U_M382 U_M155 U_M450 U_M326 U_M543 U_M680 U_M1109 U_M751 U_M181 U_B584 U_M1098 U_B394 U_B298 U_B88 U_M871 U_M925 U_B547 U_M1217 U_B255 U_M1291 U_M18 U_M1062 U_M988 U_B241 U_M288 U_M1104 U_B205 U_B341 U_M1154 U_M1081 U_M917 U_M816 U_M196 U_M1146 U_M649 U_B149 U_M934 U_M440 U_M338 U_M471 U_B597 U_M1287 U_M322 U_M369 U_M982 U_B285 U_M858 U_B511 U_M1172 U_B93 U_M218 U_M360 U_B343 U_M672 U_M254 U_M129 U_M11 U_M378 U_M419 U_M1352 U_M112 U_M597;
07:03:05.45;15;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B96 U_B99 U_B146 U_B44 U_M470 U_B374 U_M612 U_B252 U_M382 U_M155 U_M450 U_M326 U_M543 U_M680 U_M1109 U_M751 U_M181 U_B584 U_M1098 U_B394 U_B298 U_B88 U_M871 U_M925 U_B547 U_M1217 U_B255 U_M1291 U_M18 U_M1062 U_M988 U_B241 U_M288 U_M1104 U_B205 U_B341 U_M1154 U_M1081 U_M917 U_M816 U_M196 U_M1146 U_M649 U_B149 U_M934 U_M440 U_M338 U_M471 U_B597 U_M1287 U_M322 U_M369 U_M982 U_B285 U_M858 U_B511 U_M1172 U_B93 U_M218 U_M360 U_B343 U_M672 U_M254 U_M129 U_M11 U_M378 U_M419 U_M1352 U_M112 U_M597;
07:10:05.45;20;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_M99 U_B318 U_M768 U_M828 U_M1 U_B392 U_M985 U_M709 U_M485 U_M1346 U_M1385 U_M609 U_M1133 U_M600 U_B131 U_M754 U_M14 U_M694 U_M412 U_M198 U_B194 U_M505 U_M814 U_B108 U_M486 U_M407 U_M851 U_M966 U_M1057 U_M247 U_B479 U_M1132 U_M477 U_M651 U_M1331 U_M16 U_M329 U_B296 U_M465 U_M361 U_M1392 U_B338 U_M894 U_B496 U_M333 U_M178 U_B342 U_M956 U_M873 U_B494 U_M1177 U_M675 U_M433 U_M497 U_M410 U_M188 U_M432 U_B499 U_B372 U_M1035 U_M202 U_B84 U_M660 U_M530 U_M657 U_M1113 U_B474 U_M1308 U_B209 U_B218;
07:11:05.45;20;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_M99 U_B318 U_M768 U_M828 U_M1 U_B392 U_M985 U_M709 U_M485 U_M1346 U_M1385 U_M609 U_M1133 U_M600 U_B131 U_M754 U_M14 U_M694 U_M412 U_M198 U_B194 U_M505 U_M814 U_B108 U_M486 U_M407 U_M851 U_M966 U_M1057 U_M247 U_B479 U_M1132 U_M477 U_M651 U_M1331 U_M16 U_M329 U_B296 U_M465 U_M361 U_M1392 U_B338 U_M894 U_B496 U_M333 U_M178 U_B342 U_M956 U_M873 U_B494 U_M1177 U_M675 U_M433 U_M497 U_M410 U_M188 U_M432 U_B499 U_B372 U_M1035 U_M202 U_B84 U_M660 U_M530 U_M657 U_M1113 U_B474 U_M1308 U_B209 U_B218;
